t,firm_id,firm_name,inbound_units,outbound_units,open_orders
0,0,firm0,0.0,0.0,1
0,1,firm1,0.0,0.0,0
0,2,firm2,0.0,0.0,0
0,3,firm4,0.0,0.0,0
0,4,firm5,0.0,0.0,2
0,5,firm6,0.0,0.0,3
0,6,firm7,0.0,0.0,1
0,7,firm8,0.0,0.0,0
0,8,firm9,0.0,0.0,0
0,9,firm10,0.0,0.0,0
0,10,firm11,0.0,0.0,0
0,11,firm12,0.0,0.0,0
0,12,firm13,0.0,0.0,0
0,13,firm14,0.0,0.0,0
0,14,firm16,0.0,0.0,0
0,15,firm17,0.0,0.0,0
0,16,firm18,0.0,0.0,0
0,17,firm19,0.0,0.0,3
0,18,firm20,0.0,0.0,0
0,19,firm21,0.0,0.0,0
0,20,firm23,0.0,0.0,0
0,21,firm24,0.0,0.0,0
0,22,firm25,0.0,0.0,1
0,23,firm29,0.0,0.0,6
0,24,firm30,0.0,0.0,0
0,25,firm31,0.0,0.0,0
0,26,firm32,0.0,0.0,5
0,27,firm33,0.0,0.0,0
0,28,firm34,0.0,0.0,0
0,29,firm36,0.0,0.0,2
0,30,firm37,0.0,0.0,0
0,31,firm39,0.0,0.0,0
0,32,firm40,0.0,0.0,0
0,33,firm42,0.0,0.0,6
0,34,firm43,0.0,0.0,0
0,35,firm44,0.0,0.0,0
0,36,firm45,0.0,0.0,0
0,37,firm46,0.0,0.0,0
0,38,firm47,0.0,0.0,0
0,39,firm48,0.0,0.0,0
0,40,firm49,0.0,0.0,2
0,41,firm50,0.0,0.0,0
0,42,firm52,0.0,0.0,0
0,43,firm53,0.0,0.0,5
0,44,firm54,0.0,0.0,0
0,45,firm55,0.0,0.0,0
0,46,firm56,0.0,0.0,0
0,47,firm57,0.0,0.0,7
0,48,firm58,0.0,0.0,0
0,49,firm59,0.0,0.0,0
0,50,firm60,0.0,0.0,0
0,51,firm61,0.0,0.0,0
0,52,firm64,0.0,0.0,0
0,53,firm66,0.0,0.0,0
0,54,firm67,0.0,0.0,3
0,55,firm68,0.0,0.0,3
0,56,firm69,0.0,0.0,0
0,57,firm70,0.0,0.0,2
0,58,firm71,0.0,0.0,0
0,59,firm72,0.0,0.0,0
0,60,firm73,0.0,0.0,2
0,61,firm74,0.0,0.0,0
0,62,firm76,0.0,0.0,7
0,63,firm77,0.0,0.0,2
0,64,firm78,0.0,0.0,4
0,65,firm80,0.0,0.0,0
0,66,firm82,0.0,0.0,0
0,67,firm83,0.0,0.0,2
0,68,firm84,0.0,0.0,2
0,69,firm86,0.0,0.0,2
0,70,firm87,0.0,0.0,0
0,71,firm88,0.0,0.0,3
0,72,firm89,0.0,0.0,0
0,73,firm90,0.0,0.0,14
0,74,firm91,0.0,0.0,18
0,75,firm92,0.0,0.0,4
0,76,firm93,0.0,0.0,0
0,77,firm94,0.0,0.0,0
0,78,firm95,0.0,0.0,9
0,79,firm96,0.0,0.0,2
0,80,firm99,0.0,0.0,0
0,81,firm100,0.0,0.0,4
0,82,firm101,0.0,0.0,4
0,83,firm102,0.0,0.0,1
0,84,firm103,0.0,0.0,0
0,85,firm106,0.0,0.0,6
0,86,firm107,0.0,0.0,1
0,87,firm109,0.0,0.0,0
0,88,firm110,0.0,0.0,0
0,89,firm111,0.0,0.0,0
0,90,firm113,0.0,0.0,1
0,91,firm115,0.0,0.0,0
0,92,firm116,0.0,0.0,4
0,93,firm117,0.0,0.0,0
0,94,firm118,0.0,0.0,0
0,95,firm120,0.0,0.0,4
0,96,firm121,0.0,0.0,4
0,97,firm122,0.0,0.0,4
0,98,firm124,0.0,0.0,1
0,99,firm127,0.0,0.0,1
0,100,firm128,0.0,0.0,2
0,101,firm129,0.0,0.0,7
0,102,firm131,0.0,0.0,2
0,103,firm132,0.0,0.0,6
0,104,firm133,0.0,0.0,4
0,105,firm134,0.0,0.0,5
0,106,firm135,0.0,0.0,7
0,107,firm136,0.0,0.0,6
0,108,firm137,0.0,0.0,4
0,109,firm138,0.0,0.0,5
0,110,firm139,0.0,0.0,4
0,111,firm141,0.0,0.0,8
0,112,firm142,0.0,0.0,4
0,113,firm143,0.0,0.0,6
0,114,firm145,0.0,0.0,2
0,115,firm146,0.0,0.0,4
0,116,firm147,0.0,0.0,4
0,117,firm148,0.0,0.0,6
0,118,firm149,0.0,0.0,6
